case_submitter_id,project_id,rank,gene,mutation_count
TCGA-22-4613,TCGA-LUSC,20,SRCAP,3
TCGA-22-4613,TCGA-LUSC,21,CNTNAP4,3
TCGA-22-4613,TCGA-LUSC,22,ZNF521,3
TCGA-22-4613,TCGA-LUSC,23,ZNF208,3
TCGA-22-4613,TCGA-LUSC,24,TCEANC2,2
TCGA-22-4613,TCGA-LUSC,25,ERICH3,2
TCGA-22-4613,TCGA-LUSC,26,KCNC4,2
TCGA-22-4613,TCGA-LUSC,27,SPTA1,2
TCGA-22-4613,TCGA-LUSC,28,PAPPA2,2
TCGA-22-4613,TCGA-LUSC,29,BRINP2,2
TCGA-22-4613,TCGA-LUSC,30,F13B,2
TCGA-22-4613,TCGA-LUSC,31,PPP1R15B,2
TCGA-22-4613,TCGA-LUSC,32,USH2A,2
TCGA-22-4613,TCGA-LUSC,33,OR14A16,2
TCGA-22-4613,TCGA-LUSC,34,OR2T4,2
TCGA-22-4613,TCGA-LUSC,35,ALK,2
TCGA-22-4613,TCGA-LUSC,36,SLC8A1,2
TCGA-22-4613,TCGA-LUSC,37,NRXN1,2
TCGA-22-4613,TCGA-LUSC,38,SMYD1,2
TCGA-22-4613,TCGA-LUSC,39,CNTNAP5,2
TCGA-22-4613,TCGA-LUSC,40,RAB6C,2
TCGA-22-4613,TCGA-LUSC,41,LRP1B,2
TCGA-22-4613,TCGA-LUSC,42,LRP2,2
TCGA-22-4613,TCGA-LUSC,43,FSIP2,2
TCGA-22-4613,TCGA-LUSC,44,FAM171B,2
TCGA-22-4613,TCGA-LUSC,45,SCN10A,2
TCGA-22-4613,TCGA-LUSC,46,CELSR3,2
TCGA-22-4613,TCGA-LUSC,47,PTPRG,2
TCGA-22-4613,TCGA-LUSC,48,CADPS,2
TCGA-22-4613,TCGA-LUSC,49,EPHA3,2
TCGA-22-4613,TCGA-LUSC,50,PROS1,2
TCGA-37-3789,TCGA-LUSC,1,TTN,3
TCGA-37-3789,TCGA-LUSC,2,COL11A1,2
TCGA-37-3789,TCGA-LUSC,3,CACNA1E,2
TCGA-37-3789,TCGA-LUSC,4,USH2A,2
TCGA-37-3789,TCGA-LUSC,5,ROBO1,2
TCGA-37-3789,TCGA-LUSC,6,CPA4,2
TCGA-37-3789,TCGA-LUSC,7,PRKDC,2
TCGA-37-3789,TCGA-LUSC,8,RGS22,2
TCGA-37-3789,TCGA-LUSC,9,NELL1,2
TCGA-37-3789,TCGA-LUSC,10,CORO1C,2
TCGA-37-3789,TCGA-LUSC,11,KLHL1,2
TCGA-37-3789,TCGA-LUSC,12,KCNK13,2
TCGA-37-3789,TCGA-LUSC,13,AHNAK2,2
TCGA-37-3789,TCGA-LUSC,14,GATAD2A,2
TCGA-37-3789,TCGA-LUSC,15,SLA2,2
TCGA-37-3789,TCGA-LUSC,16,USP48,1
TCGA-37-3789,TCGA-LUSC,17,P3H1,1
TCGA-37-3789,TCGA-LUSC,18,TUT4,1
TCGA-37-3789,TCGA-LUSC,19,C1orf141,1
TCGA-37-3789,TCGA-LUSC,20,FPGT,1
TCGA-37-3789,TCGA-LUSC,21,CLCA3P,1
TCGA-37-3789,TCGA-LUSC,22,ZNF326,1
TCGA-37-3789,TCGA-LUSC,23,PLPPR4,1
TCGA-37-3789,TCGA-LUSC,24,SPAG17,1
TCGA-37-3789,TCGA-LUSC,25,TARS2,1
TCGA-37-3789,TCGA-LUSC,26,PI4KB,1
TCGA-37-3789,TCGA-LUSC,27,HRNR,1
TCGA-37-3789,TCGA-LUSC,28,UBAP2L,1
TCGA-37-3789,TCGA-LUSC,29,GON4L,1
TCGA-37-3789,TCGA-LUSC,30,NTRK1,1
TCGA-37-3789,TCGA-LUSC,31,OR10K1,1
TCGA-37-3789,TCGA-LUSC,32,SPTA1,1
TCGA-37-3789,TCGA-LUSC,33,NIT1,1
TCGA-37-3789,TCGA-LUSC,34,CCDC190,1
TCGA-37-3789,TCGA-LUSC,35,F5,1
TCGA-37-3789,TCGA-LUSC,36,AXDND1,1
TCGA-37-3789,TCGA-LUSC,37,CEP350,1
TCGA-37-3789,TCGA-LUSC,38,ZBTB41,1
TCGA-37-3789,TCGA-LUSC,39,PLXNA2,1
TCGA-37-3789,TCGA-LUSC,40,PROX1,1
TCGA-37-3789,TCGA-LUSC,41,TRIM58,1
