gene,group,n,median_age_at_diagnosis_years,female,male,white,black_or_african_american,asian,alive,dead,median_survival_time_days_observed,stage_i_or_ii,stage_iii_or_iv,progression_or_recurrence_reported_yes,disease_response_values
FGFR1,not_mutated,916,68.06,363,553,652,77,17,553,363,671.0,904,176,269,TF-Tumor Free; TF-Tumor Free; WT-With Tumor; WT-With Tumor; WT-With Tumor; TF-Tumor Free
KEAP1,mutated,136,68.55,51,85,99,18,1,77,59,716.0,134,35,43,TF-Tumor Free; TF-Tumor Free; WT-With Tumor; WT-With Tumor; WT-With Tumor; TF-Tumor Free
KEAP1,not_mutated,796,67.935,320,476,564,61,16,487,309,669.0,786,148,230,TF-Tumor Free; TF-Tumor Free; WT-With Tumor; WT-With Tumor; WT-With Tumor; TF-Tumor Free
KMT2C,mutated,102,67.73,35,67,77,5,0,61,41,731.0,100,18,27,TF-Tumor Free; TF-Tumor Free; WT-With Tumor; WT-With Tumor; WT-With Tumor; TF-Tumor Free
KMT2C,not_mutated,830,68.065,336,494,586,74,17,503,327,669.0,820,165,246,TF-Tumor Free; TF-Tumor Free; WT-With Tumor; WT-With Tumor; WT-With Tumor; TF-Tumor Free
KMT2D,mutated,146,68.59,48,98,98,9,3,86,60,671.0,144,19,46,TF-Tumor Free; TF-Tumor Free; WT-With Tumor; WT-With Tumor; WT-With Tumor; TF-Tumor Free
KMT2D,not_mutated,786,67.89500000000001,323,463,565,70,14,478,308,674.0,776,164,227,TF-Tumor Free; TF-Tumor Free; WT-With Tumor; WT-With Tumor; WT-With Tumor; TF-Tumor Free
KRAS,mutated,140,66.91,73,67,102,14,3,90,50,607.0,136,30,45,TF-Tumor Free; TF-Tumor Free; WT-With Tumor; WT-With Tumor; WT-With Tumor; TF-Tumor Free
KRAS,not_mutated,792,68.2,298,494,561,65,14,474,318,687.0,784,153,228,TF-Tumor Free; TF-Tumor Free; WT-With Tumor; WT-With Tumor; WT-With Tumor; TF-Tumor Free
MET,mutated,27,71.605,13,14,17,1,0,17,10,826.0,27,4,9,TF-Tumor Free; WT-With Tumor; WT-With Tumor; TF-Tumor Free
MET,not_mutated,905,67.92,358,547,646,78,17,547,358,670.0,893,179,264,TF-Tumor Free; TF-Tumor Free; WT-With Tumor; WT-With Tumor; WT-With Tumor; TF-Tumor Free
NF1,mutated,110,67.42,51,59,80,14,1,61,49,801.5,107,19,45,TF-Tumor Free; TF-Tumor Free; WT-With Tumor; WT-With Tumor; WT-With Tumor; TF-Tumor Free
